timestamp,message
1767897156765,"info ""@esbuild/win32-ia32@0.25.2"" is an optional dependency and failed compatibility check. Excluding it from installation.
"
1767897156765,"[3/4] Linking dependencies...
"
1767897156765,"warning "" > aws-cdk-lib@2.215.0"" has unmet peer dependency ""constructs@^10.0.0"".
"
1767897156765,"warning "" > @octokit/plugin-paginate-rest@9.2.2"" has unmet peer dependency ""@octokit/core@5"".
"
1767897156765,"warning "" > @commitlint/cz-commitlint@16.3.0"" has unmet peer dependency ""commitizen@^4.0.3"".
"
1767897156765,"warning "" > @commitlint/cz-commitlint@16.3.0"" has unmet peer dependency ""inquirer@^8.0.0"".
"
1767897156765,"warning "" > babel-loader@8.4.1"" has unmet peer dependency ""webpack@>=2"".
"
1767897156765,"warning "" > @aws-amplify/data-construct@1.16.3"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > amplify-category-api-e2e-core@5.0.9"" has unmet peer dependency ""@aws-amplify/amplify-cli-core@^4.4.0"".
"
1767897156765,"warning "" > amplify-category-api-e2e-tests@4.1.11"" has unmet peer dependency ""@aws-amplify/amplify-cli-core@^4.4.0"".
"
1767897156765,"warning "" > amplify-graphql-api-construct-tests@1.14.5"" has unmet peer dependency ""@aws-amplify/amplify-cli-core@^4.4.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-api-construct@1.20.3"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-auth-transformer@4.2.4"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-conversation-transformer@1.1.12"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-function-transformer@3.1.16"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-generation-transformer@1.2.4"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-http-transformer@3.0.19"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-index-transformer@3.0.19"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-model-transformer@3.3.1"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-maps-to-transformer@4.0.19"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-predictions-transformer@3.0.19"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-relational-transformer@3.1.11"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-searchable-transformer@3.0.19"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-sql-transformer@0.4.19"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-transformer-core@3.4.4"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-transformer-interfaces@4.2.6"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-transformer-test-utils@1.0.18"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning "" > @aws-amplify/graphql-transformer@2.3.4"" has unmet peer dependency ""constructs@^10.3.0"".
"
1767897156765,"warning ""workspace-aggregator-8d0c48a9-eccf-4389-b95a-3b2056f09020 > amplify-category-api-e2e-core > @aws-sdk/lib-dynamodb@3.826.0"" has unmet peer dependency ""@aws-sdk/client-dynamodb@^3.826.0"".
"
1767897156765,"warning ""workspace-aggregator-8d0c48a9-eccf-4389-b95a-3b2056f09020 > amplify-category-api-e2e-tests > aws-appsync@4.1.10"" has incorrect peer dependency ""graphql@0.13.0 || 14.x || 15.0.0 - 15.3.0"".
"
1767897156765,"warning ""workspace-aggregator-8d0c48a9-eccf-4389-b95a-3b2056f09020 > amplify-graphql-api-construct-tests > @aws-amplify/core@2.3.0"" has unmet peer dependency ""@react-native-community/netinfo@^5.5.0"".
"
1767897156765,"warning ""workspace-aggregator-8d0c48a9-eccf-4389-b95a-3b2056f09020 > @aws-amplify/graphql-api-construct > jsii-docgen@9.1.2"" has incorrect peer dependency ""jsii-rosetta@~5.0.14 || ~5.1.2"".
"
1767897156765,"warning ""workspace-aggregator-8d0c48a9-eccf-4389-b95a-3b2056f09020 > amplify-category-api-e2e-core > @aws-sdk/lib-dynamodb > @aws-sdk/util-dynamodb@3.826.0"" has unmet peer dependency ""@aws-sdk/client-dynamodb@^3.826.0"".
"
1767897156765,"warning ""workspace-aggregator-8d0c48a9-eccf-4389-b95a-3b2056f09020 > amplify-category-api-e2e-tests > aws-appsync > apollo-cache-inmemory@1.3.12"" has incorrect peer dependency ""graphql@0.11.7 || ^0.12.0 || ^0.13.0 || ^14.0.0"".
"
1767897156765,"warning ""workspace-aggregator-8d0c48a9-eccf-4389-b95a-3b2056f09020 > amplify-category-api-e2e-tests > aws-appsync > apollo-client@2.4.6"" has incorrect peer dependency ""graphql@^0.11.0 || ^0.12.0 || ^0.13.0 || ^14.0.0"".
"
